Date,burger_sales,Instagram_Cost,Bing_Cost,Facebook_Cost,Google_Cost,Pinterest_Cost,Tiktok Cost
2020-06-02,1970,0.0,0.0,686.9,3408.6637399999995,0.0,0.0
2020-06-03,1920,0.0,0.0,690.8,3400.92558,0.0,0.0
2020-06-04,1700,0.0,0.0,688.0,2948.4998,0.0,0.0
2020-06-05,1750,0.0,0.0,670.7,3113.97073,0.0,0.0
2020-06-06,1250,0.0,0.0,684.0,2527.6947600000003,0.0,0.0
2020-06-07,1350,0.0,0.0,663.5,2812.8552299999997,0.0,0.0
2020-06-08,1580,0.0,0.0,663.7,3360.54643,0.0,0.0
2020-06-09,2220,0.0,0.0,679.4,3262.4243699999997,0.0,0.0
2020-06-10,1890,0.0,0.0,688.1,3089.12568,0.0,0.0
2020-06-11,2160,0.0,0.0,671.5,3057.4517400000004,0.0,0.0
2020-06-12,2190,0.0,0.0,656.5,3016.1045099999997,0.0,0.0
2020-06-13,1810,0.0,0.0,683.5,2202.33901,0.0,0.0
2020-06-14,1770,0.0,0.0,668.6,2476.85762,0.0,0.0
2020-06-15,2810,0.0,0.0,683.0,2966.20772,0.0,0.0
2020-06-16,2700,0.0,0.0,657.2,3023.70928,0.0,0.0
2020-06-17,2810,0.0,0.0,665.9,3147.7134,0.0,0.0
2020-06-18,3090,0.0,0.0,669.2,3070.96963,0.0,0.0
2020-06-19,2580,0.0,0.0,644.1,2719.10656,0.0,0.0
2020-06-20,2770,0.0,0.0,658.2,2833.71029,0.0,0.0
2020-06-21,1820,0.0,0.0,669.9,2421.36666,0.0,0.0
2020-06-22,2930,0.0,0.0,662.5,4088.9344400000004,0.0,0.0
2020-06-23,3160,0.0,0.0,668.6,3528.6573700000004,0.0,0.0
2020-06-24,3380,0.0,0.0,645.2,3278.40193,0.0,0.0
2020-06-25,3110,0.0,0.0,632.1,3171.84684,0.0,0.0
2020-06-26,2950,0.0,0.0,633.6,3241.2537799999996,0.0,0.0
2020-06-27,2390,0.0,0.0,683.1,1991.1800399999997,0.0,0.0
2020-06-28,2310,0.0,0.0,621.0,2230.8078100000002,0.0,0.0
2020-06-29,3080,0.0,0.0,619.3,3106.9308899999996,0.0,0.0
2020-06-30,3650,0.0,0.0,587.8,3208.3348,0.0,0.0
2020-07-01,3500,0.0,0.0,669.5,2909.58406,0.0,0.0
2020-07-02,3010,0.0,0.0,657.0,3057.74927,0.0,0.0
2020-07-03,2690,0.0,0.0,658.1,2473.05786,0.0,0.0
2020-07-04,1930,0.0,0.0,684.4,2222.08415,0.0,0.0
2020-07-05,1770,0.0,0.0,655.8,3061.9978600000004,0.0,0.0
2020-07-06,2950,0.0,0.0,677.2,4284.47773,0.0,0.0
2020-07-07,3040,0.0,0.0,677.4,4775.28325,0.0,0.0
2020-07-08,3110,0.0,0.0,676.5,3251.7471800000003,0.0,0.0
2020-07-09,3110,0.0,0.0,675.6,4067.45837,0.0,0.0
2020-07-10,2860,0.0,0.0,652.0,2905.3845499999998,0.0,0.0
2020-07-11,2380,0.0,0.0,654.7,1384.36734,0.0,0.0
2020-07-12,1950,0.0,0.0,652.4,1585.1291999999999,0.0,0.0
2020-07-13,2810,0.0,0.0,670.5,2523.64919,0.0,0.0
2020-07-14,3020,0.0,0.0,620.9,2419.73736,0.0,0.0
2020-07-15,2440,0.0,0.0,627.3,2818.3374,0.0,0.0
2020-07-16,2820,0.0,0.0,605.5,2598.41496,0.0,0.0
2020-07-17,2500,0.0,0.0,600.1,2551.6664299999998,0.0,0.0
2020-07-18,1950,0.0,0.0,610.4,2414.9477699999998,0.0,0.0
2020-07-19,1690,0.0,0.0,599.3,2679.2882600000003,0.0,0.0
2020-07-20,2630,0.0,0.0,614.3,3337.0433300000004,0.0,0.0
2020-07-21,2720,0.0,0.0,600.8,3906.9057,0.0,0.0
2020-07-22,2970,0.0,0.0,615.3,4306.3998,0.0,0.0
2020-07-23,2900,0.0,0.0,599.1,4765.95116,0.0,0.0
2020-07-24,2440,0.0,0.0,604.1,3182.56088,0.0,0.0
2020-07-25,2000,0.0,0.0,598.8,2613.71511,0.0,0.0
2020-07-26,1790,0.0,0.0,588.7,2942.44991,0.0,0.0
2020-07-27,2560,0.0,0.0,610.2,3418.01303,0.0,0.0
2020-07-28,2680,0.0,0.0,591.6,3378.53107,0.0,0.0
2020-07-29,2600,0.0,0.0,591.0,3043.36321,0.0,0.0
2020-07-30,2710,0.0,0.0,572.9,2494.2677099999996,0.0,0.0
2020-07-31,2460,0.0,0.0,570.6,2228.62779,0.0,0.0
2020-08-01,2230,0.0,0.0,610.0,2350.61304,0.0,0.0
2020-08-02,1860,0.0,0.0,614.3,2249.54472,0.0,0.0
2020-08-03,2460,0.0,0.0,654.4,3228.70449,0.0,0.0
2020-08-04,2820,0.0,0.0,611.3,4373.49139,0.0,0.0
2020-08-05,2750,0.0,0.0,610.9,3758.376039999999,0.0,0.0
2020-08-06,2880,0.0,0.0,596.2,3506.6133,0.0,0.0
2020-08-07,2520,0.0,0.0,612.0,3607.67878,0.0,0.0
2020-08-08,2120,0.0,0.0,596.2,2718.86827,0.0,0.0
2020-08-09,2000,0.0,0.0,600.3,2611.03861,0.0,0.0
2020-08-10,2460,0.0,0.0,637.8,4784.398220000001,0.0,0.0
2020-08-11,2590,0.0,0.0,612.4,5202.73851,0.0,0.0
2020-08-12,3030,0.0,0.0,596.9,4109.50716,0.0,0.0
2020-08-13,2740,0.0,0.0,597.4,4132.36954,0.0,0.0
2020-08-14,2410,0.0,0.0,590.6,4269.42962,0.0,0.0
2020-08-15,2100,0.0,0.0,596.2,4244.07513,0.0,0.0
2020-08-16,1880,0.0,0.0,587.9,2584.51337,0.0,0.0
2020-08-17,2160,0.0,0.0,593.4,6817.70692,0.0,0.0
2020-08-18,2420,0.0,0.0,607.5,5774.05661,0.0,0.0
2020-08-19,2540,0.0,0.0,604.4,5164.19882,0.0,0.0
2020-08-20,2460,0.0,0.0,594.9,4300.41135,0.0,0.0
2020-08-21,2250,0.0,0.0,583.3,4695.27258,0.0,0.0
2020-08-22,2120,0.0,0.0,599.5,6118.11243,0.0,0.0
2020-08-23,1840,0.0,0.0,597.4,7281.9446100000005,0.0,0.0
2020-08-24,2540,0.0,0.0,608.8,10822.276769999999,0.0,0.0
2020-08-25,2830,0.0,0.0,585.8,8533.10103,0.0,0.0
2020-08-26,2630,0.0,0.0,588.3,9142.8808,0.0,0.0
2020-08-27,2380,0.0,0.0,573.0,6740.20079,0.0,0.0
2020-08-28,2300,0.0,0.0,573.8,6790.91953,0.0,0.0
2020-08-29,2180,0.0,0.0,581.8,5736.56358,0.0,0.0
2020-08-30,1530,0.0,0.0,563.1,5600.15426,0.0,0.0
2020-08-31,2290,0.0,0.0,560.2,5220.35134,0.0,0.0
2020-09-01,2320,0.0,0.0,624.1,5814.648000000001,0.0,0.0
2020-09-02,2040,0.0,0.0,602.9,5210.38165,0.0,0.0
2020-09-03,2290,0.0,0.0,608.2,4605.20997,0.0,0.0
